"state","zcta5","cbsa10","stab","cbsaname10","zipname","pop10","afact"
"01","35457","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Echola, AL",82,1
"01","35458","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Elrod, AL",594,1
"01","35459","99999","AL","99999","Emelle, AL",872,1
"01","35460","99999","AL","99999","Epes, AL",834,1
"01","35461","99999","AL","99999","Ethelsville, AL",1952,1
"01","35462","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Eutaw, AL",5061,1
"01","35463","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Fosters, AL",1749,1
"01","35464","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Gainesville, AL",134,0.205
"01","35464","99999","AL","99999","Gainesville, AL",520,0.795
"01","35466","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Gordo, AL",690,0.114
"01","35466","99999","AL","99999","Gordo, AL",5385,0.886
"01","35469","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Knoxville, AL",221,1
"01","35470","99999","AL","99999","Livingston, AL",5468,1
"01","35473","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Northport, AL",14909,1
"01","35474","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Moundville, AL",6180,1
"01","35475","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Northport, AL",14507,1
"01","35476","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Northport, AL",8106,1
"01","35477","99999","AL","99999","Panola, AL (PO Boxes)",335,1
"01","35480","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Ralph, AL",1343,1
"01","35481","99999","AL","99999","Reform, AL",3668,1
"01","35490","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Vance, AL",3857,1
"01","35501","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Jasper, AL",10424,1
"01","35503","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Jasper, AL",8677,0.957
"01","35503","99999","AL","99999","Jasper, AL",391,0.043
"01","35504","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Jasper, AL",13596,1
"01","35540","18980","AL","Cullman, AL Micropolitan Statistical Area","Addison, AL",40,0.017
"01","35540","99999","AL","99999","Addison, AL",2375,0.983
"01","35541","18980","AL","Cullman, AL Micropolitan Statistical Area","Arley, AL",9,0.003
"01","35541","99999","AL","99999","Arley, AL",3588,0.997
"01","35542","99999","AL","99999","Bankston, AL",1021,1
"01","35543","99999","AL","99999","Bear Creek, AL",1137,1
"01","35544","99999","AL","99999","Beaverton, AL",673,1
"01","35545","99999","AL","99999","Belk, AL",100,1
"01","35546","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Berry, AL",130,0.033
"01","35546","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Berry, AL",1255,0.322
"01","35546","99999","AL","99999","Berry, AL",2516,0.645
"01","35548","99999","AL","99999","Brilliant, AL",1558,1
"01","35549","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Carbon Hill, AL",4009,0.924
"01","35549","99999","AL","99999","Carbon Hill, AL",332,0.076
"01","35550","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Cordova, AL",5605,1
"01","35552","99999","AL","99999","Detroit, AL",1044,1
"01","35553","99999","AL","99999","Double Springs, AL",4680,1
"01","35554","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Eldridge, AL",454,0.383
"01","35554","99999","AL","99999","Eldridge, AL",732,0.617
"01","35555","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Fayette, AL",190,0.019
"01","35555","99999","AL","99999","Fayette, AL",9987,0.981
"01","35559","99999","AL","99999","Glen Allen, AL",57,1
"01","35563","99999","AL","99999","Guin, AL",4340,1
"01","35564","99999","AL","99999","Hackleburg, AL",2361,1
"01","35565","19460","AL","Decatur, AL Metropolitan Statistical Area","Haleyville, AL",17,0.001
"01","35565","99999","AL","99999","Haleyville, AL",13468,0.999
"01","35570","99999","AL","99999","Hamilton, AL",11145,1
"01","35571","99999","AL","99999","Hodges, AL",895,1
"01","35572","99999","AL","99999","Houston, AL",1131,1
"01","35574","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Kennedy, AL",9,0.006
"01","35574","99999","AL","99999","Kennedy, AL",1498,0.994
"01","35575","99999","AL","99999","Lynn, AL",1018,1
"01","35576","99999","AL","99999","Millport, AL",3217,1
"01","35577","99999","AL","99999","Natural Bridge, AL",38,1
"01","35578","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Nauvoo, AL",4943,0.847
"01","35578","99999","AL","99999","Nauvoo, AL",890,0.153
"01","35579","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Oakman, AL",3122,0.996
"01","35579","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Oakman, AL",14,0.004
"01","35580","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Parrish, AL",3791,1
"01","35581","99999","AL","99999","Phil Campbell, AL",5778,1
"01","35582","99999","AL","99999","Red Bay, AL",4093,1
"01","35584","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Sipsey, AL",460,1
"01","35585","99999","AL","99999","Spruce Pine, AL",1418,1
"01","35586","99999","AL","99999","Sulligent, AL",4469,1
"01","35587","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Townley, AL",1025,1
"01","35592","99999","AL","99999","Vernon, AL",4664,1
"01","35593","99999","AL","99999","Vina, AL",1931,1
"01","35594","99999","AL","99999","Winfield, AL",7794,1
"01","35601","19460","AL","Decatur, AL Metropolitan Statistical Area","Decatur, AL",34434,1
"01","35603","19460","AL","Decatur, AL Metropolitan Statistical Area","Decatur, AL",30545,1
"01","35610","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Anderson, AL",1784,0.792
"01","35610","26620","AL","Huntsville, AL Metropolitan Statistical Area","Anderson, AL",468,0.208
"01","35611","26620","AL","Huntsville, AL Metropolitan Statistical Area","Athens, AL",25251,1
"01","35613","26620","AL","Huntsville, AL Metropolitan Statistical Area","Athens, AL",20546,1
"01","35614","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Athens, AL",7,0.001
"01","35614","26620","AL","Huntsville, AL Metropolitan Statistical Area","Athens, AL",7449,0.999
"01","35615","26620","AL","Huntsville, AL Metropolitan Statistical Area","Belle Mina, AL (PO Boxes)",68,1
"01","35616","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Cherokee, AL",4043,1
"01","35618","19460","AL","Decatur, AL Metropolitan Statistical Area","North Courtland, AL",1870,1
"01","35619","18980","AL","Cullman, AL Micropolitan Statistical Area","Danville, AL",10,0.002
"01","35619","19460","AL","Decatur, AL Metropolitan Statistical Area","Danville, AL",5125,0.998
"01","35620","26620","AL","Huntsville, AL Metropolitan Statistical Area","Elkmont, AL",8868,1
"01","35621","18980","AL","Cullman, AL Micropolitan Statistical Area","Eva, AL",137,0.048
"01","35621","19460","AL","Decatur, AL Metropolitan Statistical Area","Eva, AL",2715,0.952
"01","35622","18980","AL","Cullman, AL Micropolitan Statistical Area","Falkville, AL",1531,0.207
"01","35622","19460","AL","Decatur, AL Metropolitan Statistical Area","Falkville, AL",5857,0.793
"01","35630","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Florence, AL",32629,1
"01","35633","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","Florence, AL",20877,1
